Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
87.9381,03/05/23,9:06÷9:16,50.5,124.6,168.3,3.1,19.94,65.07,5.1,0.72,92.56,0.8,50.38,32.35,1.1,37.13,31.37,6.0,2.42,69.58,0.6,58.46,13.64
65.6356,03/05/23,11:48÷11:55,48.5,112.8,158.2,3.8,19.24,64.38,5.0,0.41,93.27,,,,2.4,39.08,31.52,5.3,4.88,71.49,,,
74.5001,03/05/23,14:10÷14:16,58.9,104.1,141.1,3.4,17.71,69.03,4.8,0.42,97.22,,,,2.8,37.51,32.01,4.8,9.76,64.35,,,
98.6860,04/05/23,9:10÷9:21,50.1,119.5,171.4,2.7,25.34,59.25,3.7,0.62,93.80,0.9,63.03,19.80,4.3,30.98,47.15,4.2,19.17,48.95,0.6,80.4,4.57
75.9950,04/05/23,11:46÷11:52,51.3,118.1,171.3,3.5,15.70,70.50,4.5,17.65,52.13,,,,5.8,44.03,33.39,4.3,1.85,90.11,,,
75.8507,04/05/23,14:27÷14:34,52.1,107.0,160.9,3.3,14.23,72.23,4.6,1.48,93.37,,,,3.8,29.60,44.13,5.7,5.8,60.35,,,
69.3459,05/05/23,9:10÷9:20,46.3,81.0,124.6,2.9,22.53,60.93,3.5,1.73,90.03,0.8,59.62,23.95,3.1,43.79,22.02,6.4,0.83,82.71,0.6,40.25,21.06
76.3319,05/05/23,11:45÷11:50,49.1,86.0,134.4,2.8,27.37,52.95,4.2,1.75,92.39,,,,3.5,26.8,30.92,4.5,4.63,71.55,,,
76.7782,05/05/23,14:27÷14:33,48.1,114.2,168.0,3.3,21.33,64.69,4.0,2.15,89.45,,,,4.9,14.64,75.48,6.3,2.35,72.91,,,
115.6580,10/05/23,9:35÷9:44,49.3,118.4,164.9,2.3,17.16,65.58,6.2,0.47,90.18,0.7,57.25,26.08,2.4,20.74,45.56,8.5,0.44,88.18,0.7,40.03,19.81
